FIPS,name,AVGhmid
18009,"Blackford County, IN",381
18011,"Boone County, IN",2728
18013,"Brown County, IN",1386
18015,"Carroll County, IN",807
18017,"Cass County, IN",512
18019,"Clark County, IN",1249
18021,"Clay County, IN",655
18023,"Clinton County, IN",649
18025,"Crawford County, IN",531
18027,"Daviess County, IN",516
18029,"Dearborn County, IN",1505
18031,"Decatur County, IN",760
18033,"DeKalb County, IN",864
18035,"Delaware County, IN",641
18037,"Dubois County, IN",749
18039,"Elkhart County, IN",877
18041,"Fayette County, IN",473
18043,"Floyd County, IN",1485
18045,"Fountain County, IN",507
18047,"Franklin County, IN",1144
18049,"Fulton County, IN",591
18051,"Gibson County, IN",661
18053,"Grant County, IN",560
18055,"Greene County, IN",574
18057,"Hamilton County, IN",3231
18059,"Hancock County, IN",1790
18061,"Harrison County, IN",1131
18063,"Hendricks County, IN",2084
18065,"Henry County, IN",645
18067,"Howard County, IN",834
18069,"Huntington County, IN",746
18071,"Jackson County, IN",731
18073,"Jasper County, IN",1282
18075,"Jay County, IN",366
18077,"Jefferson County, IN",732
18079,"Jennings County, IN",593
18081,"Johnson County, IN",1637
18083,"Knox County, IN",526
18085,"Kosciusko County, IN",1000
18087,"LaGrange County, IN",713
18089,"Lake County, IN",1427
18091,"LaPorte County, IN",1020
18093,"Lawrence County, IN",747
18095,"Madison County, IN",736
18097,"Marion County, IN",1071
18099,"Marshall County, IN",757
18101,"Martin County, IN",544
18103,"Miami County, IN",545
18105,"Monroe County, IN",1191
18107,"Montgomery County, IN",689
18109,"Morgan County, IN",1459
18111,"Newton County, IN",877
18113,"Noble County, IN",722
18115,"Ohio County, IN",1055
18117,"Orange County, IN",492
18119,"Owen County, IN",760
18121,"Parke County, IN",559
18123,"Perry County, IN",546
18125,"Pike County, IN",523
18127,"Porter County, IN",1865
18129,"Posey County, IN",966
18131,"Pulaski County, IN",546
18133,"Putnam County, IN",986
18135,"Randolph County, IN",358
18137,"Ripley County, IN",958
18139,"Rush County, IN",647
18141,"St. Joseph County, IN",974
18143,"Scott County, IN",661
18145,"Shelby County, IN",926
18147,"Spencer County, IN",733
18149,"Starke County, IN",652
18151,"Steuben County, IN",1044
18153,"Sullivan County, IN",461
18155,"Switzerland County, IN",890
18157,"Tippecanoe County, IN",1113
18159,"Tipton County, IN",848
18161,"Union County, IN",653
18163,"Vanderburgh County, IN",820
18165,"Vermillion County, IN",441
18167,"Vigo County, IN",665
18169,"Wabash County, IN",589
18171,"Warren County, IN",752
18173,"Warrick County, IN",1418
18175,"Washington County, IN",659
18177,"Wayne County, IN",610
18179,"Wells County, IN",780
18181,"White County, IN",757
18183,"Whitley County, IN",1016
19001,"Adair County, IA",501
19003,"Adams County, IA",406
19005,"Allamakee County, IA",625
19007,"Appanoose County, IA",482
19009,"Audubon County, IA",338
19011,"Benton County, IA",1282
19013,"Black Hawk County, IA",1148
19015,"Boone County, IA",1185
19017,"Bremer County, IA",1432
19019,"Buchanan County, IA",910
19021,"Buena Vista County, IA",509
19023,"Butler County, IA",789
19025,"Calhoun County, IA",473
19027,"Carroll County, IA",746
19029,"Cass County, IA",592
19031,"Cedar County, IA",1221
19033,"Cerro Gordo County, IA",926
19035,"Cherokee County, IA",424
19037,"Chickasaw County, IA",557
19039,"Clarke County, IA",664
19041,"Clay County, IA",767
19043,"Clayton County, IA",579
19045,"Clinton County, IA",869
19047,"Crawford County, IA",499
19049,"Dallas County, IA",2886
19051,"Davis County, IA",623
19053,"Decatur County, IA",422
19055,"Delaware County, IA",816
19057,"Des Moines County, IA",689
19059,"Dickinson County, IA",1512
19061,"Dubuque County, IA",1174
19063,"Emmet County, IA",473
19065,"Fayette County, IA",499
19067,"Floyd County, IA",624
19069,"Franklin County, IA",497
19071,"Fremont County, IA",802
19073,"Greene County, IA",521
19075,"Grundy County, IA",1072
19077,"Guthrie County, IA",1044
19079,"Hamilton County, IA",703
19081,"Hancock County, IA",581
19083,"Hardin County, IA",621
19085,"Harrison County, IA",968
19087,"Henry County, IA",727
19089,"Howard County, IA",540
19091,"Humboldt County, IA",579
19093,"Ida County, IA",449
19095,"Iowa County, IA",1105
19097,"Jackson County, IA",700
19099,"Jasper County, IA",1008
19101,"Jefferson County, IA",704
19103,"Johnson County, IA",1903
19105,"Jones County, IA",963
19107,"Keokuk County, IA",435
19109,"Kossuth County, IA",537
19111,"Lee County, IA",545
19113,"Linn County, IA",1632
19115,"Louisa County, IA",662
19117,"Lucas County, IA",608
19119,"Lyon County, IA",762
19121,"Madison County, IA",1882
19123,"Mahaska County, IA",770
19125,"Marion County, IA",1253
19127,"Marshall County, IA",789
19129,"Mills County, IA",1839
19131,"Mitchell County, IA",551
19133,"Monona County, IA",469
19135,"Monroe County, IA",613
19137,"Montgomery County, IA",566
19139,"Muscatine County, IA",983
19141,"O'Brien County, IA",512
19143,"Osceola County, IA",372
19145,"Page County, IA",501
19147,"Palo Alto County, IA",467
19149,"Plymouth County, IA",1022
19151,"Pocahontas County, IA",275
19153,"Polk County, IA",1793
19155,"Pottawattamie Coun, IA",1342
19157,"Poweshiek County, IA",971
19159,"Ringgold County, IA",613
19161,"Sac County, IA",449
19163,"Scott County, IA",1520
