GEO_ID,NAME,VALUE
13053,"Chattahoochee County, Georgia",828
13055,"Chattooga County, Georgia",631
13057,"Cherokee County, Georgia",1880
13059,"Clarke County, Georgia",1749
13061,"Clay County, Georgia",691
13063,"Clayton County, Georgia",1139
13065,"Clinch County, Georgia",734
13067,"Cobb County, Georgia",1832
13069,"Coffee County, Georgia",923
13071,"Colquitt County, Georgia",927
13073,"Columbia County, Georgia",2022
13075,"Cook County, Georgia",886
13077,"Coweta County, Georgia",1847
13079,"Crawford County, Georgia",982
13081,"Crisp County, Georgia",1031
13083,"Dade County, Georgia",704
13085,"Dawson County, Georgia",1709
13087,"Decatur County, Georgia",1210
13089,"DeKalb County, Georgia",2283
13091,"Dodge County, Georgia",692
13093,"Dooly County, Georgia",968
13095,"Dougherty County, Georgia",1452
13097,"Douglas County, Georgia",1466
13099,"Early County, Georgia",855
13101,"Echols County, Georgia",674
13103,"Effingham County, Georgia",1776
13105,"Elbert County, Georgia",834
13107,"Emanuel County, Georgia",773
13109,"Evans County, Georgia",953
13111,"Fannin County, Georgia",837
13113,"Fayette County, Georgia",2615
13115,"Floyd County, Georgia",1261
13117,"Forsyth County, Georgia",2682
13119,"Franklin County, Georgia",991
13121,"Fulton County, Georgia",3060
13123,"Gilmer County, Georgia",934
13125,"Glascock County, Georgia",830
13127,"Glynn County, Georgia",1307
13129,"Gordon County, Georgia",1144
13131,"Grady County, Georgia",1203
13133,"Greene County, Georgia",1469
13135,"Gwinnett County, Georgia",2518
13137,"Habersham County, Georgia",1103
13139,"Hall County, Georgia",1695
13141,"Hancock County, Georgia",882
13143,"Haralson County, Georgia",1338
13145,"Harris County, Georgia",2021
13147,"Hart County, Georgia",971
13149,"Heard County, Georgia",734
13151,"Henry County, Georgia",1843
13153,"Houston County, Georgia",1408
13155,"Irwin County, Georgia",1059
13157,"Jackson County, Georgia",1872
13159,"Jasper County, Georgia",1427
13161,"Jeff Davis County, Georgia",747
13163,"Jefferson County, Georgia",866
13165,"Jenkins County, Georgia",856
13167,"Johnson County, Georgia",637
13169,"Jones County, Georgia",1395
13171,"Lamar County, Georgia",1351
13173,"Lanier County, Georgia",1242
13175,"Laurens County, Georgia",956
13177,"Lee County, Georgia",1795
13179,"Liberty County, Georgia",1655
13181,"Lincoln County, Georgia",1329
13183,"Long County, Georgia",1440
13185,"Lowndes County, Georgia",1343
13187,"Lumpkin County, Georgia",1409
13189,"McDuffie County, Georgia",986
13191,"McIntosh County, Georgia",1063
13193,"Macon County, Georgia",732
13195,"Madison County, Georgia",1270
13197,"Marion County, Georgia",876
13199,"Meriwether County, Georgia",1173
13201,"Miller County, Georgia",1438
13205,"Mitchell County, Georgia",1227
13207,"Monroe County, Georgia",1344
13209,"Montgomery County, Georgia",813
13211,"Morgan County, Georgia",1899
13213,"Murray County, Georgia",686
13215,"Muscogee County, Georgia",1316
13217,"Newton County, Georgia",1449
13219,"Oconee County, Georgia",2282
13221,"Oglethorpe County, Georgia",1015
13223,"Paulding County, Georgia",1650
13225,"Peach County, Georgia",1621
13227,"Pickens County, Georgia",1614
13229,"Pierce County, Georgia",948
13231,"Pike County, Georgia",1750
13233,"Polk County, Georgia",1075
13235,"Pulaski County, Georgia",1021
13237,"Putnam County, Georgia",1224
13239,"Quitman County, Georgia",494
13241,"Rabun County, Georgia",1132
13243,"Randolph County, Georgia",843
13245,"Richmond County, Georgia",1236
13247,"Rockdale County, Georgia",1161
13249,"Schley County, Georgia",1209
13251,"Screven County, Georgia",887
13253,"Seminole County, Georgia",899
13255,"Spalding County, Georgia",1452
13257,"Stephens County, Georgia",1065
13259,"Stewart County, Georgia",582
13261,"Sumter County, Georgia",1477
13263,"Talbot County, Georgia",907
13265,"Taliaferro County, Georgia",1058
13267,"Tattnall County, Georgia",952
13269,"Taylor County, Georgia",741
13271,"Telfair County, Georgia",701
13273,"Terrell County, Georgia",986
13275,"Thomas County, Georgia",1437
13277,"Tift County, Georgia",1380
13279,"Toombs County, Georgia",916
13281,"Towns County, Georgia",916
13283,"Treutlen County, Georgia",633
13285,"Troup County, Georgia",1412
13287,"Turner County, Georgia",796
13289,"Twiggs County, Georgia",812
13291,"Union County, Georgia",1221
13293,"Upson County, Georgia",937
13295,"Walker County, Georgia",996
13297,"Walton County, Georgia",1631
13299,"Ware County, Georgia",928
13301,"Warren County, Georgia",843
13303,"Washington County, Georgia",993
13305,"Wayne County, Georgia",940
13307,"Webster County, Georgia",756
13309,"Wheeler County, Georgia",633
13311,"White County, Georgia",1415
13313,"Whitfield County, Georgia",1014
13315,"Wilcox County, Georgia",692
13317,"Wilkes County, Georgia",1096
13319,"Wilkinson County, Georgia",668
13321,"Worth County, Georgia",1020
15001,"Hawaii County, Hawaii",1001
15003,"Honolulu County, Hawaii",2010
15005,"Kalawao County, Hawaii",-
15007,"Kauai County, Hawaii",1448
15009,"Maui County, Hawaii",1191
16001,"Ada County, Idaho",1923
16003,"Adams County, Idaho",1075
16005,"Bannock County, Idaho",1507
16007,"Bear Lake County, Idaho",872
16009,"Benewah County, Idaho",1085
16011,"Bingham County, Idaho",1119
16013,"Blaine County, Idaho",1989
16015,"Boise County, Idaho",1255
16017,"Bonner County, Idaho",1323
16019,"Bonneville County, Idaho",1354
16021,"Boundary County, Idaho",1182
16023,"Butte County, Idaho",903
16025,"Camas County, Idaho",945
16027,"Canyon County, Idaho",1458
16029,"Caribou County, Idaho",1089
16031,"Cassia County, Idaho",872
16033,"Clark County, Idaho",459
