fips,name,tax
18055,"Greene County, Indiana",663
18057,"Hamilton County, Indiana",2164
18059,"Hancock County, Indiana",1443
18061,"Harrison County, Indiana",766
18063,"Hendricks County, Indiana",1673
18065,"Henry County, Indiana",783
18067,"Howard County, Indiana",655
18069,"Huntington County, Indiana",848
18071,"Jackson County, Indiana",632
18073,"Jasper County, Indiana",700
18075,"Jay County, Indiana",502
18077,"Jefferson County, Indiana",842
18079,"Jennings County, Indiana",707
18081,"Johnson County, Indiana",1309
18083,"Knox County, Indiana",680
18085,"Kosciusko County, Indiana",846
18087,"LaGrange County, Indiana",1010
18089,"Lake County, Indiana",1656
18091,"LaPorte County, Indiana",1034
18093,"Lawrence County, Indiana",806
18095,"Madison County, Indiana",860
18097,"Marion County, Indiana",1244
18099,"Marshall County, Indiana",912
18101,"Martin County, Indiana",595
18103,"Miami County, Indiana",435
18105,"Monroe County, Indiana",1156
18107,"Montgomery County, Indiana",426
18109,"Morgan County, Indiana",737
18111,"Newton County, Indiana",941
18113,"Noble County, Indiana",827
18115,"Ohio County, Indiana",620
18117,"Orange County, Indiana",459
18119,"Owen County, Indiana",827
18121,"Parke County, Indiana",545
18123,"Perry County, Indiana",733
18125,"Pike County, Indiana",702
18127,"Porter County, Indiana",1581
18129,"Posey County, Indiana",980
18131,"Pulaski County, Indiana",427
18133,"Putnam County, Indiana",817
18135,"Randolph County, Indiana",655
18137,"Ripley County, Indiana",816
18139,"Rush County, Indiana",738
18141,"St. Joseph County, Indiana",1158
18143,"Scott County, Indiana",753
18145,"Shelby County, Indiana",946
18147,"Spencer County, Indiana",765
18149,"Starke County, Indiana",741
18151,"Steuben County, Indiana",765
18153,"Sullivan County, Indiana",590
18155,"Switzerland County, Indiana",645
18157,"Tippecanoe County, Indiana",1040
18159,"Tipton County, Indiana",818
18161,"Union County, Indiana",997
18163,"Vanderburgh County, Indiana",916
18165,"Vermillion County, Indiana",598
18167,"Vigo County, Indiana",876
18169,"Wabash County, Indiana",373
18171,"Warren County, Indiana",671
18173,"Warrick County, Indiana",1150
18175,"Washington County, Indiana",689
18177,"Wayne County, Indiana",822
18179,"Wells County, Indiana",604
18181,"White County, Indiana",733
18183,"Whitley County, Indiana",1000
19001,"Adair County, Iowa",1239
19003,"Adams County, Iowa",1031
19005,"Allamakee County, Iowa",1364
19007,"Appanoose County, Iowa",1145
19009,"Audubon County, Iowa",982
19011,"Benton County, Iowa",1714
19013,"Black Hawk County, Iowa",1962
19015,"Boone County, Iowa",1787
